Amount - Order Total,Item - Fill SKU,Item - Price,Item - Qty,Item - SKU,Ship To - State,Date - Order Date
"207.55",,"119.99","1","ADJ-DESK-47X23-WALNUT-BLACK","CA","3/2/2021 7:35:29 PM"
"194.83",,"119.99","1","ADJ-DESK-47X23-BLACK-BLACK","TX","3/3/2021 9:26:08 AM"
"386.85",,"359.99","1","E1-FLOG-Y6RC","WA","3/3/2021 10:41:52 AM"
"195.73",,"119.99","1","ADJ-DESK-47X23-BLACK-BLACK","CA","3/3/2021 11:56:27 PM"
"410.50",,"385.99","1","Treadmill-W-H-0008","CT","3/4/2021 9:51:25 AM"
"417.78",,"389.99","1","E1-FLOG-Y6RC","MN","3/4/2021 2:44:09 PM"
"484.83",,"389.99","1","E1-FLOG-Y6RC","PR","3/4/2021 5:14:58 PM"
"389.99",,"389.99","1","E1-FLOG-Y6RC","KS","3/5/2021 6:42:54 AM"
"346.39",,"319.99","1","Treadmill-None-0001","TX","3/5/2021 10:39:26 AM"
"359.28",,"329.99","1","Treadmill-None-0003","NY","3/5/2021 10:52:30 AM"
"427.04",,"389.99","1","E1-FLOG-Y6RC","CA","3/5/2021 9:30:43 PM"
"314.99",,"314.99","1","Treadmill-None-0002","OR","3/5/2021 9:41:49 PM"
"413.11",,"389.99","1","E1-FLOG-Y6RC","MA","3/6/2021 1:07:00 PM"
"409.15",,"385.99","1","Treadmill-W-H-0008","PA","3/6/2021 1:14:45 PM"
"433.00",,"385.99","1","Treadmill-W-H-0008","IN","3/6/2021 1:51:28 PM"
"414.50",,"389.99","1","E1-FLOG-Y6RC","NJ","3/6/2021 3:20:29 PM"
"352.61",,"324.99","1","Treadmill-None-0001","CA","3/6/2021 3:28:06 PM"
"344.49",,"324.99","1","Treadmill-None-0001","MD","3/6/2021 3:49:00 PM"
"353.02",,"324.99","1","Treadmill-None-0001","NY","3/6/2021 4:18:39 PM"
"412.35",,"324.99","1","Treadmill-None-0001","PR","3/6/2021 5:36:53 PM"
"346.52",,"324.99","1","Treadmill-None-0001","NJ","3/6/2021 7:11:23 PM"
"413.11",,"389.99","1","E1-FLOG-Y6RC","MA","3/6/2021 9:03:59 PM"
"357.21",,"329.99","1","Treadmill-None-0002","CA","3/6/2021 10:58:02 PM"
"367.18",,"329.99","1","Treadmill-None-0001","AL","3/7/2021 9:29:26 AM"
"348.14",,"329.99","1","Treadmill-None-0002","ME","3/7/2021 9:55:01 AM"
"430.88",,"395.99","1","E1-FLOG-Y6RC","CO","3/7/2021 11:15:08 AM"
"356.99",,"335.99","1","Treadmill-None-0003","MA","3/7/2021 1:08:18 PM"
"417.77",,"395.99","1","E1-FLOG-Y6RC","ME","3/7/2021 5:25:01 PM"
"372.28",,"329.99","1","Treadmill-None-0002","CA","3/7/2021 5:39:10 PM"
"423.71",,"395.99","1","Treadmill-W-H-0009","NC","3/7/2021 6:42:06 PM"
"428.66",,"395.99","1","E1-FLOG-Y6RC","TX","3/7/2021 7:31:52 PM"
"370.58",,"329.99","1","Treadmill-None-0002","CA","3/7/2021 7:51:37 PM"
"449.95",,"389.99","1","Treadmill-W-H-0008","CA","3/7/2021 8:35:35 PM"
"433.38",,"389.99","1","E1-FLOG-Y6RC","PA","3/6/2021 9:53:26 PM"
"374.53",,"345.99","1","Treadmill-None-0001","TX","3/8/2021 11:25:35 AM"
"339.99",,"339.99","1","Treadmill-None-0002","FL","3/8/2021 4:46:58 PM"
"368.55",,"339.99","1","Treadmill-None-0002","WA","3/8/2021 5:44:08 PM"
"380.93",,"345.99","1","Treadmill-None-0003","WA","3/8/2021 6:27:33 PM"
"427.04",,"389.99","1","Treadmill-W-H-0008","CA","3/8/2021 7:46:23 PM"
"378.86",,"345.99","1","Treadmill-None-0001","CA","3/8/2021 9:27:00 PM"
"373.14",,"339.99","1","Treadmill-None-0002","CA","3/9/2021 12:05:48 AM"
"259.78",,"179.99","1","ADJ-DESK-47 x 27-BRITH-BLACK","TX","3/9/2021 2:28:42 PM"
"395.99",,"395.99","1","E1-FLOG-Y6RC","FL","3/9/2021 2:47:10 PM"
"360.39",,"339.99","1","Treadmill-None-0002","MI","3/9/2021 5:12:36 PM"
"339.99",,"339.99","1","Treadmill-None-0002","FL","3/9/2021 6:47:18 PM"
"414.75",,"389.99","1","Treadmill-W-H-0008","CT","3/10/2021 8:24:22 AM"
"372.80",,"345.99","1","Treadmill-None-0001","CA","3/10/2021 12:10:18 PM"
"379.72",,"345.99","1","Treadmill-None-0003","TN","3/10/2021 12:32:15 PM"
"434.58",,"389.99","1","Treadmill-W-H-0008","PA","3/10/2021 3:20:51 PM"
"363.79",,"339.99","1","Treadmill-None-0002","MS","3/10/2021 4:04:43 PM"
"484.83",,"389.99","1","Treadmill-W-H-0008","PR","3/9/2021 4:13:36 PM"
"418.26",,"389.99","1","Treadmill-W-H-0008","CA","3/10/2021 6:32:03 PM"
"367.19",,"339.99","1","Treadmill-None-0002","IL","3/10/2021 7:29:43 PM"
